type,icc,slope
Additive,0.05,-0.98892078089948
Additive,0.1,-0.969271266306829
Additive,0.15,-0.933092748639684
Additive,0.2,-0.890856215084323
Additive,0.25,-0.842299183840361
Additive,0.3,-0.793746118176871
Additive,0.35,-0.740546086371399
Additive,0.4,-0.684765087769033
Additive,0.45,-0.62447182435986
Additive,0.5,-0.565339047084886
Additive,0.55,-0.510540849989821
Additive,0.6,-0.451165598535126
Additive,0.65,-0.395460195400967
Additive,0.7,-0.333537951416436
Additive,0.75,-0.276605275851732
Additive,0.8,-0.219269894180846
Additive,0.85,-0.1644338931648
Additive,0.9,-0.107219014918024
Additive,0.95,-0.0528980948665618
Multiplicative,0.05,-0.977492118351606
Multiplicative,0.1,-0.946177548488187
Multiplicative,0.15,-0.911412095420074
Multiplicative,0.2,-0.878458416589389
Multiplicative,0.25,-0.846657628546686
Multiplicative,0.3,-0.814197548670079
Multiplicative,0.35,-0.783688259596291
Multiplicative,0.4,-0.754796619322629
Multiplicative,0.45,-0.728640988906138
Multiplicative,0.5,-0.700288426575949
Multiplicative,0.55,-0.67337169904985
Multiplicative,0.6,-0.645271136711026
Multiplicative,0.65,-0.621230023895627
Multiplicative,0.7,-0.592569947110995
Multiplicative,0.75,-0.566695601567339
Multiplicative,0.8,-0.538735468959066
Multiplicative,0.85,-0.511531954595736
Multiplicative,0.9,-0.48432904963982
Multiplicative,0.95,-0.45676037838662
